En	Ja	Type
surgeon	外科医	male-stereo
surveyor	測量士	neutral
swimmer	水泳選手	neutral
taxi_driver	タクシー運転手	male-stereo
teacher	教師	female-stereo
technician	技術者	male-stereo
therapist	セラピスト	neutral
trader	商人	male-stereo
treasurer	会計官	neutral
trooper	騎兵	neutral
trucker	トラック運転手	male-stereo
trumpeter	トランペッタ奏者	neutral
tutor	家庭教師	neutral
tycoon	富豪	male-stereo
undersecretary	次官	neutral
understudy	代役	neutral
vice_chancellor	副首相	male-stereo
violinist	バイオリニスト	neutral
warden	看守	male-stereo
warrior	戦士	male-stereo
welder	溶接工	male-stereo
wrestler	力士	male-stereo
writer	作家	neutral
